iter	Logloss
0	0.6844394694
1	0.6762693672
2	0.6688271442
3	0.662032158
4	0.6556717499
5	0.6497674205
6	0.6444497277
7	0.6393602797
8	0.6347648545
9	0.6304714304
10	0.626551834
11	0.6227716591
12	0.6194285419
13	0.6162059751
14	0.6132831981
15	0.6105321444
16	0.6080310161
17	0.6056724822
18	0.6035226653
19	0.6015379591
20	0.59973987
21	0.5980362966
22	0.5964686739
23	0.5949759267
24	0.5936094742
25	0.5923421623
26	0.5910440213
27	0.5898387371
28	0.5887928795
29	0.5878086841
30	0.5868559887
31	0.5860038356
32	0.5851499858
33	0.5844192142
34	0.5837166232
35	0.5830760304
36	0.5825055567
37	0.5819119161
38	0.581355382
39	0.5808182247
40	0.5803327064
41	0.5798400696
42	0.5793809662
43	0.5789761844
44	0.5785753088
45	0.5782303057
46	0.5778783033
47	0.5775465018
48	0.5772324322
49	0.5769407792
50	0.5766522489
51	0.5764091032
52	0.5761638775
53	0.5759034099
54	0.5756766521
55	0.5754219038
56	0.5752174533
57	0.5749976155
58	0.5747880601
59	0.5745929663
60	0.5744151204
61	0.5742557245
62	0.574115333
63	0.5739572448
64	0.5738127657
65	0.5736857107
66	0.5735571955
67	0.5734302235
68	0.5733054992
69	0.5732043279
70	0.573081706
71	0.5729665045
72	0.5728684656
73	0.5727763187
74	0.5726857445
75	0.5725973091
76	0.5725115759
77	0.5724183771
78	0.5723301037
79	0.572261289
80	0.5721894004
81	0.5721138378
82	0.5720353787
83	0.571969127
84	0.5719038371
85	0.5718413414
86	0.5717926605
87	0.5717491403
88	0.5716997815
89	0.571647665
90	0.5715878758
91	0.5715367526
92	0.5714899421
93	0.5714431365
94	0.5713912468
95	0.5713455612
96	0.5712859375
97	0.5712478485
98	0.5712051989
99	0.5711707466
100	0.5711292021
101	0.5710865422
102	0.571047389
103	0.5709991489
104	0.5709622088
105	0.5709208631
106	0.5708819355
107	0.5708449937
108	0.5708079033
109	0.5707729805
110	0.5707344322
111	0.570701619
112	0.570662975
113	0.5706361617
114	0.570608669
115	0.5705735313
116	0.5705486583
117	0.5705190719
118	0.5704851623
119	0.5704484842
120	0.5704200571
121	0.5703886899
122	0.570362637
123	0.5703285944
124	0.5702959193
125	0.5702597686
126	0.5702325749
127	0.570205009
128	0.5701719502
129	0.5701411964
130	0.57011311
131	0.5700846762
132	0.5700633066
133	0.5700317578
134	0.5700037403
135	0.569978628
136	0.5699490532
137	0.5699225272
138	0.5699039941
139	0.5698842736
140	0.5698611715
141	0.5698435648
142	0.5698140959
143	0.5697789079
144	0.569760788
145	0.5697283636
146	0.5697062766
147	0.5696792091
148	0.5696565269
149	0.5696304534
150	0.5696065162
151	0.5695855181
152	0.5695653558
153	0.5695447869
154	0.5695135102
155	0.5694895905
156	0.5694587829
157	0.5694298032
158	0.5694160193
159	0.5693929415
160	0.569369037
161	0.5693480712
162	0.5693271038
163	0.5693073256
164	0.5692912555
165	0.5692728267
166	0.5692519517
167	0.569230067
168	0.5692079525
169	0.5691892399
170	0.5691711123
171	0.5691466117
172	0.5691269065
173	0.5690974369
174	0.5690700992
175	0.569050934
176	0.5690262177
177	0.5690019504
178	0.5689839145
179	0.5689706821
180	0.568945662
181	0.5689265488
182	0.5689126925
183	0.5688968143
184	0.56887161
185	0.5688501934
186	0.5688339588
187	0.5688126138
