iter	Passed	Remaining
0	5	50545
1	10	51358
2	15	51585
3	20	51309
4	25	51524
5	30	51147
6	35	51116
7	41	51364
8	46	51543
9	51	51127
10	56	51156
11	61	51263
12	67	51482
13	71	51215
14	76	51118
15	81	50929
16	87	51117
17	92	51234
18	97	51174
19	102	51032
20	107	51008
21	112	50913
22	118	51207
23	122	51115
24	128	51415
25	133	51286
26	138	51099
27	143	51137
28	148	51088
29	153	50954
30	158	50864
31	163	51024
32	169	51070
33	174	51140
34	179	51204
35	184	51093
36	190	51319
37	195	51264
38	201	51366
39	206	51331
40	211	51400
41	216	51353
42	222	51496
43	228	51604
44	233	51755
45	238	51691
46	244	51765
47	249	51830
48	254	51754
49	260	51756
50	265	51850
51	271	51947
52	276	51824
53	282	51950
54	287	51897
55	292	51957
56	297	51893
57	302	51852
58	308	51910
59	313	51973
60	319	52047
61	324	52087
62	330	52206
63	336	52229
64	342	52288
65	347	52317
66	353	52438
67	359	52446
68	364	52448
69	370	52569
70	376	52584
71	381	52638
72	387	52690
73	393	52716
74	397	52638
75	402	52551
76	407	52546
77	413	52614
78	418	52600
79	424	52607
80	429	52646
81	434	52554
82	439	52556
83	445	52619
84	451	52659
85	456	52676
86	461	52618
87	466	52550
88	472	52574
89	477	52526
90	482	52559
91	487	52534
92	493	52593
93	499	52629
94	504	52651
95	511	52720
96	516	52741
97	521	52714
98	527	52748
99	533	52769
100	538	52810
101	544	52820
102	549	52777
103	555	52838
104	561	52892
105	567	52932
106	573	52986
107	578	52956
108	584	53024
109	590	53089
110	595	53077
111	601	53110
112	607	53131
113	612	53155
114	617	53117
115	623	53151
116	628	53112
117	634	53158
118	641	53233
119	646	53256
120	652	53245
121	657	53221
122	662	53234
123	668	53266
124	674	53280
125	679	53249
126	685	53278
127	691	53299
128	696	53273
129	701	53260
130	706	53247
131	712	53233
132	718	53279
133	723	53246
134	729	53276
135	734	53280
136	740	53309
137	746	53317
138	751	53328
139	756	53298
140	762	53285
141	767	53304
142	773	53333
143	779	53359
144	785	53398
145	791	53430
146	797	53429
147	802	53435
148	808	53460
149	814	53489
150	820	53518
151	825	53475
152	831	53486
153	837	53521
154	842	53506
155	848	53524
156	853	53534
157	858	53505
158	864	53513
159	870	53543
160	875	53529
161	881	53546
162	887	53561
163	893	53569
164	898	53551
165	903	53537
166	908	53510
167	913	53467
168	918	53442
169	924	53443
170	929	53423
171	934	53394
172	940	53402
173	944	53360
174	950	53351
175	955	53360
176	960	53331
177	966	53343
178	972	53344
179	977	53304
180	982	53323
